ID	project	sample	group	experiment	run	ftp_path	forward	forward_md5	reverse	reverse_md5
DP8400007980BL_L01_read_1.fq.gz	CNP0001930	PB10	Prydz_Bay	CNX0373393	CNR0453383	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410462/CNX0373393/CNR0453383/	DP8400007980BL_L01_read_1.fq.gz	DP8400007980BL_L01_read_1.fq.gz.md5	DP8400007980BL_L01_read_2.fq.gz	DP8400007980BL_L01_read_2.fq.gz.md5
200107_SEQ064_DP800007400TR_L01_SP1912230321	CNP0001930	PB11	Prydz_Bay	CNX0373394	CNR0453384	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410463/CNX0373394/CNR0453384/	200107_SEQ064_DP800007400TR_L01_SP1912230321_R1.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230321_R1.fq.gz.md5	200107_SEQ064_DP800007400TR_L01_SP1912230321_R2.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230321_R2.fq.gz.md5
200107_SEQ104_DP800007235BR_L01_SP1912230384	CNP0001930	PB11	Prydz_Bay	CNX0373394	CNR0453385	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410463/CNX0373394/CNR0453385/	200107_SEQ104_DP800007235BR_L01_SP1912230384_R1.fq.gz	200107_SEQ104_DP800007235BR_L01_SP1912230384_R1.fq.gz.md5	200107_SEQ104_DP800007235BR_L01_SP1912230384_R2.fq.gz	200107_SEQ104_DP800007235BR_L01_SP1912230384_R2.fq.gz.md5
200107_SEQ104_DP800007236BR_L01_SP1912230384	CNP0001930	PB11	Prydz_Bay	CNX0373394	CNR0453386	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410463/CNX0373394/CNR0453386/	200107_SEQ104_DP800007236BR_L01_SP1912230384_R1.fq.gz	200107_SEQ104_DP800007236BR_L01_SP1912230384_R1.fq.gz.md5	200107_SEQ104_DP800007236BR_L01_SP1912230384_R2.fq.gz	200107_SEQ104_DP800007236BR_L01_SP1912230384_R2.fq.gz.md5
200108_SEQ064_DP800007399TR_L01_SP1912230321	CNP0001930	PB11	Prydz_Bay	CNX0373394	CNR0453387	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410463/CNX0373394/CNR0453387/	200108_SEQ064_DP800007399TR_L01_SP1912230321_R1.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230321_R1.fq.gz.md5	200108_SEQ064_DP800007399TR_L01_SP1912230321_R2.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230321_R2.fq.gz.md5
200120_SEQ033_FP100000723TL_L01_SP1912230447	CNP0001930	PB11	Prydz_Bay	CNX0373394	CNR0453388	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410463/CNX0373394/CNR0453388/	200120_SEQ033_FP100000723TL_L01_SP1912230447_R1.fq.gz	200120_SEQ033_FP100000723TL_L01_SP1912230447_R1.fq.gz.md5	200120_SEQ033_FP100000723TL_L01_SP1912230447_R2.fq.gz	200120_SEQ033_FP100000723TL_L01_SP1912230447_R2.fq.gz.md5
200322_SEQ113_DP8400009308TR_L01_SP1912230447	CNP0001930	PB11	Prydz_Bay	CNX0373394	CNR0453389	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410463/CNX0373394/CNR0453389/	200322_SEQ113_DP8400009308TR_L01_SP1912230447_R1.fq.gz	200322_SEQ113_DP8400009308TR_L01_SP1912230447_R1.fq.gz.md5	200322_SEQ113_DP8400009308TR_L01_SP1912230447_R2.fq.gz	200322_SEQ113_DP8400009308TR_L01_SP1912230447_R2.fq.gz.md5
200107_SEQ064_DP800007400TR_L01_SP1912230322	CNP0001930	PB12	Prydz_Bay	CNX0373395	CNR0453390	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410464/CNX0373395/CNR0453390/	200107_SEQ064_DP800007400TR_L01_SP1912230322_R1.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230322_R1.fq.gz.md5	200107_SEQ064_DP800007400TR_L01_SP1912230322_R2.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230322_R2.fq.gz.md5
200107_SEQ102_DP800007239BR_L01_SP1912230385	CNP0001930	PB12	Prydz_Bay	CNX0373395	CNR0453391	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410464/CNX0373395/CNR0453391/	200107_SEQ102_DP800007239BR_L01_SP1912230385_R1.fq.gz	200107_SEQ102_DP800007239BR_L01_SP1912230385_R1.fq.gz.md5	200107_SEQ102_DP800007239BR_L01_SP1912230385_R2.fq.gz	200107_SEQ102_DP800007239BR_L01_SP1912230385_R2.fq.gz.md5
200107_SEQ104_DP800007235BR_L01_SP1912230385	CNP0001930	PB12	Prydz_Bay	CNX0373395	CNR0453392	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410464/CNX0373395/CNR0453392/	200107_SEQ104_DP800007235BR_L01_SP1912230385_R1.fq.gz	200107_SEQ104_DP800007235BR_L01_SP1912230385_R1.fq.gz.md5	200107_SEQ104_DP800007235BR_L01_SP1912230385_R2.fq.gz	200107_SEQ104_DP800007235BR_L01_SP1912230385_R2.fq.gz.md5
